date,bitcoin_unscaled,bitcoin_monthly,isPartial,scale,bitcoin
2019-11-28,71,11,,0.11,7.81
2019-11-29,65,11,,0.11,7.15
2019-11-30,62,11,,0.11,6.82
2019-12-01,77,11,FALSE,0.11,8.47
2019-12-02,84,11,,0.11,9.24
2019-12-03,77,11,,0.11,8.47
2019-12-04,83,11,,0.11,9.13
2019-12-05,80,11,,0.11,8.8
2019-12-06,77,11,,0.11,8.47
2019-12-07,74,11,,0.11,8.14
2019-12-08,71,11,,0.11,7.81
2019-12-09,75,11,,0.11,8.25
2019-12-10,71,11,,0.11,7.81
2019-12-11,75,11,,0.11,8.25
2019-12-12,73,11,,0.11,8.03
2019-12-13,74,11,,0.11,8.14
2019-12-14,64,11,,0.11,7.04
2019-12-15,69,11,,0.11,7.59
2019-12-16,77,11,,0.11,8.47
2019-12-17,93,11,,0.11,10.23
2019-12-18,100,11,,0.11,11
2019-12-19,92,11,,0.11,10.12
2019-12-20,80,11,,0.11,8.8
2019-12-21,73,11,,0.11,8.03
2019-12-22,76,11,,0.11,8.36
2019-12-23,89,11,,0.11,9.79
2019-12-24,77,11,,0.11,8.47
2019-12-25,78,11,,0.11,8.58
2019-12-26,79,11,,0.11,8.69
2019-12-27,72,11,,0.11,7.92
2019-12-28,76,11,,0.11,8.36
2019-12-29,76,11,,0.11,8.36
2019-12-30,71,11,,0.11,7.81
2019-12-31,74,11,,0.11,8.14
2020-01-01,63,13,FALSE,0.13,8.19
2020-01-02,62,13,,0.13,8.06
2020-01-03,75,13,,0.13,9.75
2020-01-04,63,13,,0.13,8.19
2020-01-05,59,13,,0.13,7.67
2020-01-06,69,13,,0.13,8.97
2020-01-07,88,13,,0.13,11.44
2020-01-08,100,13,,0.13,13
2020-01-09,76,13,,0.13,9.88
2020-01-10,71,13,,0.13,9.23
2020-01-11,66,13,,0.13,8.58
2020-01-12,62,13,,0.13,8.06
2020-01-13,63,13,,0.13,8.19
2020-01-14,93,13,,0.13,12.09
2020-01-15,94,13,,0.13,12.22
2020-01-16,77,13,,0.13,10.01
2020-01-17,79,13,,0.13,10.27
2020-01-18,74,13,,0.13,9.62
2020-01-19,72,13,,0.13,9.36
2020-01-20,73,13,,0.13,9.49
2020-01-21,71,13,,0.13,9.23
2020-01-22,68,13,,0.13,8.84
2020-01-23,63,13,,0.13,8.19
2020-01-24,65,13,,0.13,8.45
2020-01-25,55,13,,0.13,7.15
2020-01-26,56,13,,0.13,7.28
2020-01-27,68,13,,0.13,8.84
2020-01-28,82,13,,0.13,10.66
2020-01-29,84,13,,0.13,10.92
2020-01-30,85,13,,0.13,11.05
2020-01-31,75,13,,0.13,9.75
2020-02-01,62,14,FALSE,0.14,8.68
2020-02-02,62,14,,0.14,8.68
2020-02-03,59,14,,0.14,8.26
2020-02-04,66,14,,0.14,9.24
2020-02-05,77,14,,0.14,10.78
2020-02-06,82,14,,0.14,11.48
2020-02-07,72,14,,0.14,10.08
2020-02-08,67,14,,0.14,9.38
2020-02-09,95,14,,0.14,13.3
2020-02-10,87,14,,0.14,12.18
2020-02-11,85,14,,0.14,11.9
2020-02-12,100,14,,0.14,14
2020-02-13,87,14,,0.14,12.18
2020-02-14,75,14,,0.14,10.5
2020-02-15,70,14,,0.14,9.8
2020-02-16,68,14,,0.14,9.52
2020-02-17,77,14,,0.14,10.78
2020-02-18,71,14,,0.14,9.94
2020-02-19,80,14,,0.14,11.2
2020-02-20,76,14,,0.14,10.64
2020-02-21,69,14,,0.14,9.66
2020-02-22,58,14,,0.14,8.12
2020-02-23,62,14,,0.14,8.68
2020-02-24,71,14,,0.14,9.94
2020-02-25,73,14,,0.14,10.22
2020-02-26,82,14,,0.14,11.48
2020-02-27,80,14,,0.14,11.2
2020-02-28,85,14,,0.14,11.9
2020-02-29,64,14,,0.14,8.96
2020-03-01,25,20,FALSE,0.2,5
2020-03-02,30,20,,0.2,6
2020-03-03,29,20,,0.2,5.8
2020-03-04,30,20,,0.2,6
2020-03-05,32,20,,0.2,6.4
2020-03-06,34,20,,0.2,6.8
2020-03-07,25,20,,0.2,5
2020-03-08,29,20,,0.2,5.8
2020-03-09,53,20,,0.2,10.6
2020-03-10,41,20,,0.2,8.2
2020-03-11,34,20,,0.2,6.8
2020-03-12,73,20,,0.2,14.6
2020-03-13,100,20,,0.2,20
2020-03-14,64,20,,0.2,12.8
2020-03-15,56,20,,0.2,11.2
2020-03-16,71,20,,0.2,14.2
2020-03-17,59,20,,0.2,11.8
2020-03-18,55,20,,0.2,11
2020-03-19,59,20,,0.2,11.8
2020-03-20,59,20,,0.2,11.8
2020-03-21,52,20,,0.2,10.4
2020-03-22,44,20,,0.2,8.8
2020-03-23,50,20,,0.2,10
2020-03-24,48,20,,0.2,9.6
2020-03-25,45,20,,0.2,9
2020-03-26,40,20,,0.2,8
2020-03-27,37,20,,0.2,7.4
2020-03-28,40,20,,0.2,8
2020-03-29,38,20,,0.2,7.6
2020-03-30,41,20,,0.2,8.2
2020-03-31,36,20,,0.2,7.2
2020-04-01,55,16,FALSE,0.16,8.8
2020-04-02,66,16,,0.16,10.56
2020-04-03,59,16,,0.16,9.44
2020-04-04,58,16,,0.16,9.28
2020-04-05,53,16,,0.16,8.48
